2026-01-03 08:56:56,481 | INFO | config.enhanced_config_manager | Timing config loaded: enabled=False
2026-01-03 08:56:56,483 | INFO | src.core.risk_manager | Risk Manager initialized with comprehensive risk controls
2026-01-03 08:56:56,484 | INFO | src.screener.excel_screener | Excel screener initialized: MiniRobo.xlsx
2026-01-03 08:56:58,916 | INFO | src.screener.excel_screener | Loaded 100 enabled stocks from universe
2026-01-03 08:56:59,509 | INFO | src.core.warmup_manager | WarmupManager initialized for 10 symbols with 60 days lookback
2026-01-03 08:56:59,509 | INFO | src.core.warmup_manager | 🔥 Starting system warmup sequence...
2026-01-03 08:56:59,509 | INFO | src.core.warmup_manager |   🔄 Executing: load_market_data
2026-01-03 08:57:00,472 | ERROR | yfinance | $HDFCBANK: possibly delisted; no timezone found
2026-01-03 08:57:00,472 | WARNING | src.core.warmup_manager | Insufficient data for HDFCBANK: 0 days
2026-01-03 08:57:01,326 | ERROR | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: ICICIBANK"}}}
2026-01-03 08:57:01,517 | ERROR | yfinance | $ICICIBANK: possibly delisted; no timezone found
2026-01-03 08:57:01,518 | WARNING | src.core.warmup_manager | Insufficient data for ICICIBANK: 0 days
2026-01-03 08:57:01,889 | ERROR | yfinance | $KOTAKBANK: possibly delisted; no timezone found
2026-01-03 08:57:01,889 | WARNING | src.core.warmup_manager | Insufficient data for KOTAKBANK: 0 days
2026-01-03 08:57:02,228 | ERROR | yfinance | $AXISBANK: possibly delisted; no timezone found
2026-01-03 08:57:02,228 | WARNING | src.core.warmup_manager | Insufficient data for AXISBANK: 0 days
2026-01-03 08:57:02,595 | ERROR | yfinance | $SBIN: possibly delisted; no timezone found
2026-01-03 08:57:02,596 | WARNING | src.core.warmup_manager | Insufficient data for SBIN: 0 days
2026-01-03 08:57:02,948 | ERROR | yfinance | $TCS: possibly delisted; no timezone found
2026-01-03 08:57:02,949 | WARNING | src.core.warmup_manager | Insufficient data for TCS: 0 days
2026-01-03 08:57:11,446 | ERROR | yfinance | $HCLTECH: possibly delisted; no timezone found
2026-01-03 08:57:11,447 | WARNING | src.core.warmup_manager | Insufficient data for HCLTECH: 0 days
2026-01-03 08:57:11,787 | ERROR | yfinance | $WIPRO: possibly delisted; no timezone found
2026-01-03 08:57:11,788 | WARNING | src.core.warmup_manager | Insufficient data for WIPRO: 0 days
2026-01-03 08:57:12,266 | ERROR | yfinance | $TECHM: possibly delisted; no timezone found
2026-01-03 08:57:12,267 | WARNING | src.core.warmup_manager | Insufficient data for TECHM: 0 days
2026-01-03 08:57:12,267 | INFO | src.core.warmup_manager | Market data loaded: 1/10 symbols, 41 total data points
